,asin,reviewer,country,overall,title,review
4648,tt0068646,a15haddad,united states,10,Quite possibly the greatest motion picture ever made,"The Godfather. So much praise has been showered upon it, forming a large mountain of critical excellence. It is almost difficult to quantify how many levels this movie succeeds on. I hesitate to even call this a ""movie"" because it is from the time when a movie was an artform. Sadly, these movies are now a dying breed. The Godfather is THE PINNACLE of excellence on the big screen.   You all know that it is a story of the Corleone Family, a large Sicilian Mafia syndicate living in New York and led by Vito Corleone, who is played perfectly by Marlon Brando (I will talk about this a bit later), a powerful Don who demands respect and friendship and offers favors in return. No movie has come close to this one in giving a portrait to organized crime. Not in terms of pure realism or insight, understand. Goodfellas, a great movie in its own right, is a much more realistic story of the way gangsters operate. The Godfather is a glorified Sicilian Mafia tale spun by Mario Puzo and later translated to film by Puzo and Francis Ford Coppola, showing the near fall from power of the family.   The Godfather portrays so many different moral questions and considerations: how can power corrupt a man, how things look from different perspectives, is a man allowed to live outside of society, can a man reject society without punishment and live by his own laws, should someone be true to their family or to society, and much more. The result is a picture of astonishing efficacy and believability.  To be fair, a healthy portion of this movie's outward success is due to its acting. Never before and never again has there been such a powerful joint acting performance. It's almost insane to think about how amazing it was, how amazing and influential this entire movie is. Most great movies have one memorable acting performance, two if they are lucky. Four actors- Marlon Brando, Al Pacino, James Caan, and Robert Duvall- are best known for their work in the Godfather, the latter three using this title as a springboard to fame. All four acting performances, playing Vito, Michael, and Sonny Corleone plus the Consigliere Tom Hagen, are among the best ever. Along with this, Vito Corleone is probably the most prominent figure in the public's mind when it comes to movies. His raspy voice has become the stuff of legends, and has been imitated by almost everyone at one point or another.   Here I will explain why classic movies in general are far superior to today's critical masterpieces. Many people find the Godfather too slow for their tastes. While opinions are different and I do not get mad at people who find other great movies to be superior to the Godfather, people who ridicule this film to be outwardly slow quite frankly do not have long enough attention spans. This is an epic. we are talking slow corruption for maximum effect. Slow unfolding to make it seem more real, not sudden jerks of the plot but carefully constructed twists that are slowly built up and make perfect sense upon further thought. Not to mention that the cinematography is absolutely chilling. Watch the baptism scene and you will know what I mean.  This motion picture also features what is considered by many as the single most powerful scene in movie history- I won't spoil anything, but you will know it when you see it. Not to mention the wonderful soundtrack, an instantly memorable score that does a lot to help the film.  But by saying that I betray the true beauty of this film. The most prominent reason for this movie's place at the top of the all-time greats is that most movies have a few scenes that stand out when you remember them. Everybody immediately knows what they are afterward. Empire Strikes Back has the final battle with Vader. Rocky has the run up the steps. All of these are obvious. But, while perhaps the scene mentioned above is a bit more prominent, every single scene is done with such consistency and perfection. Coppola is simply a genius, or at least was in the 1970s. There are absolutely no hitches in the screenplay. Every scene is equally intense. But the paradox of this is that not only will you be hanging on to every word and totally absorbed into the story your first time, The Godfather gets better every time you watch it! The first time I saw this, I had not been as exposed to the greatest movies ever. I didn't truly understand all the moral depths of this story, but I still thought it amazing simply for the intensity of the scenes, plot, and the wonderful balance between the characters. However, after watching it dozens of times afterward I now understand all of the tiny stuff in the plot that make it what it truly is. All of the quotes and tiny little things about it are simply fantastic. Once again, in this space I cannot explain all of the greatness. I have not even gotten into the plot. To close, every single thing about this movie just absolutely screams quality. It's hard to find any significant weaknesses with this film, except that unlike the book it does not show the perspective from an outsider's point of view, such as the novel did with Kay Adams. But that is simply a tiny nitpick that we would not mention about any other movie. The effort put into everything else is what makes this visible. Everything else- perfection. If you have not seen The Godfather, DO SO NOW! It will stimulate your mind and emotions like no other movie ever filmed before. This is simply the quintessential film experience. 9.8.  ""I never listened to the big shots holding all the strings. But I hoped that someday you would be the one holding on the strings."" "
5621,tt0071562,a15haddad,united states,9,The greatest sequel ever?  Absolutely,"The Godfather: Part II came out in 1974 with incredible hype, but when it first was released it was labeled a disappointment. Only a few months later, however, it could be heard among many a debate that this movie was superior to the original.   The plot is arguably even more intense and chilling and, unlike its predecessor, it tells two tales: one of how Michael Corleone tightens his grip on the criminal underworld in the late 1950s and another of the beginnings of his father, Vito, this time played by Robert De Niro to outstanding effect, and his business empire. It is this near-seamless change that propels The Godfather: Part II into the discussion of the greatest movies ever, where it belongs right there with the first.   Al Pacino returns as Michael Corleone and this time plays him even better. On top of that, De Niro, in the role that made him famous, is sublime as Vito. While De Niro's performance is not as memorable as Marlon Brando's and his character not quite as endearing, it is still one of the highlights in the history of acting in the cinema. It's sad that when most people today think of De Niro it is for his performances in Taxi Driver, Raging Bull and Goodfellas, or, God forbid, 21st century comedies like Showtime or Analyze This. It's simply amazing that the Holy Trinity of modern American actors- Brando, Pacino, and De Niro, in that order- all were stars in the first two Godfather pictures, and the first two's careers are still highlighted by it.  However, I do not find this film to be on the exact same level as the original for a variety of reasons. Make no mistake, this is an outstanding film in its own right, the best sequel ever, and the praise I could give it is very similar to the praise I give The Godfather for it's consistent brilliance and masterful direction. Never before have I seen a pair of films that are so beautifully orchestrated. But unlike its predecessor this movie has a couple flaws.  The biggest one is with the Vito Corleone section. In the book, this part is detailed from Vito's birth right up to the events in the Godfather. However, here it only goes to about a Roosevelt administration away from the start of the events detailed in The Godfather. For someone who has only watched the movies this is a huge chunk of backstory that is missing. While Coppola chose to focus on the Don Fanucci part of Vito's epic tale, there is so much more of this brilliant story that is left untold. If an entire movie was centered around this, then the pace this story takes would be perfect. But this is but a part of The Godfather: Part II. You cannot tell two epics in one movie, and there is simply not enough time at this pace to cap off the story satisfyingly. The current model speaks nothing of the war that brought Don Corleone to power.   Not only that, but literally EVERY SINGLE PERSON in this tale is Italian and speaks Italian. I understand how large Little Italy was at this time but are you telling me that Vito in his time does not meet one pure American? Is his life that secluded? Once again, I understand the message that Coppola is getting across just fine, the sense of unity and family the Italians have, much like the first one, but it's done less believably here. It's also a bit harder to relate to Italian dialect.  The majority of my complaints lie on the Vito tale. The tale involving Michael Corleone is absolutely compelling. Emphasize that as much as possible. It's arguably more thought-provoking than its predecessor, and I would say it is more chilling, with a few parts that will absolutely make your jaw drop. That's one thing about the original, it did not have too many of those moments, but this movie has them in abundance. And not to mention Al Pacino makes these scenes come alive, he is just so fearsome and intimidating when provoked. However, surprisingly, many important plot mechanics of this movie are things you might not pick up your first time through. The major plot dynamic of the original was the transition between Vito Corleone as the Don of the Corleone family to Michael Corleone. In this movie the major mechanic is Michael's relationship with Fredo. It is this that represents the film's greatest intellectual stimulation and chill. Especially the ending, which is among the most haunting and memorable scenes you shall ever see, up there with the original's baptism. It has a bit more closure than that of its predecessor. Still, when I think of The Godfather, I think of Marlon Brando rasping out memorable lines, of Don Barzini falling down the steps, of Michael Corleone shooting Virgil Solozzo in a restaurant. It is only after this that I remember the famous aspects of The Godfather: Part II. The most likely reason for this is that it is a sequel, and we always remember what we saw first. Still, something about this movie is not quite as memorable. It lacks that extra something that made The Godfather so unique. Don't get me wrong, I love this movie. It certainly has better cinematography than the original, some of the best I've seen. But it is less than it's original: just barely, but still less. Somehow the plot is just not as large or alive, the scenes not as enjoyable. Don't take this out of context: this movie still has the magic. It has moral considerations and character depth just like the original, this time mostly about the damnation of Michael. Do not let comparisons distract you from the spectacle. 9.4.  ""If one thing in life is certain, if history has taught us anything, it's that you can kill anybody."" "
72529,tt0033467,a15haddad,United States,10,A monument to film that will live forever,"Citizen Kane. Here is a movie that has been almost universally acclaimed by every expert worth his salt as the greatest of all-time. The American Film Institute chose it. On the Sight and Sound Poll it was a near unanimous choice. Yet there is still a very large amount of people who have not seen this movie. It's not as mainstream of a Best Movie Ever as, say, The Godfather, but still this is inexcusable. The most likely reason for this is that Citizen Kane is a black-and-white film from 1941. This may turn off modern movie-goers but not me. Convinced that the Godfather was the greatest movie ever and wanting to see for myself if Citizen Kane was as good as people claimed, I rented it just yesterday, February 28. Let me just say the first word that comes to my mind. Wow. I'll say it again. Wow. Here is a movie that is over 60 years old, from the year America went into World War II. This film came out before Pearl Harbor, when Adolf Hitler was Fuehrer of Germany. Yet its direction is still unparalleled in the industry. The main reason for Citizen Kane's place in movie expert's hearts is for its insanely innovative technical prowess. It is almost impossible to explain just how revolutionary this direction is. Just about every movie since Citizen Kane has taken something from this movie. Yet it is still the golden light among movie direction. I was so stunned watching this film. Despite all the technical limitations of his time, despite the very simple methods of making movies that were prominent in the early 1900s, this film is so technically perfect that it is impossible for any reasonable man to deny its place among the very, very greatest movies ever. I just cannot explain in this space the perfection of this movie's direction. Orson Welles is an absolute genius when it comes to the cinema. And apparently, not only did Welles orchestrate the technically finest film ever made, he is also a superb actor! Watching this movie I was immensely impressed with Charles Foster Kane and the actor who immortalized him. The entire time I was thinking, who could this be? I concentrated during the credits and found out that Orson Welles himself played the star in his signature movie. This is honestly one of the best acting performances I've ever seen, and Kane is the most memorable character this side of Vito Corleone I've ever met in my experiences with the cinema. Charles Foster Kane was a world-famous newspaper tycoon, the most powerful media puppetmaster America had ever known. It is generally accepted that this character was based off of William Randolph Hurst, but that's beside the point. When he died in 1941 with his empire in shambles, he uttered one last word before falling. ""Rosebud."" One reporter is assigned to find out what this word meant. To do so he interviews the most central figures in Kane's life. It is through this story that the movie comes alive. Through this Welles displays all sorts of flashbacks, which are essentially the movie itself, of Kane's life. All of the important chapters in his saga are covered in an attempt to find out what Rosebud really means. In the process, we see a frighteningly deep display into a man who got everything he wanted in life and then subsequently lost it, his lust for material possessions to replace something else he had lost, his determination to have everything he desired what drove him through life. This all culminates in the ending which has to rank as the greatest and most thought-provoking I've ever seen. It is this ending that pieces together the puzzle of Kane's life and his struggle. It lays everything to rest, and at the end there is not one stone unturned. The ending makes everything make sense. The acting in Citizen Kane is not especially memorable aside from Welles, nor is the soundtrack, but give us a break, this is 1941. Aside from that Citizen Kane features some of the most memorable scenes and subplots ever told. Three that particularly stand out are Leland's review, Kane's attempt at politics, and the attempt at turning his second wife into an opera singer. I won't spoil the story any further than this. In conclusion, Citizen Kane is a movie that no intellectual human being should go their life without seeing. It is, simply put, a masterpiece, one of only two movies at this point I would give a 10 on IMDb. But is it the best movie of all-time? My opinions have changed in this matter. I now understand why all of the critics acclaim this above all else. In my heart I would still choose The Godfather, and as you can see I am giving Coppola's masterpiece a slightly higher rating, but in my mind these are the two greatest motion pictures ever created and nothing else can approach this pair of colossal giants. Perhaps it is because the Godfather features a wider cast of subplots and characters, rather than Citizen Kane focusing on one man, but in reality it is near impossible to point out any flaws in these two pieces of perfection. This is a movie that is both technically perfect and intellectually dazzling, a film that is both superb at face value and within our mind. It is a stirring piece of cinema that is and deserves to be more revered than any of its brethren. 9.7. There is nothing more to say, but, ""I'm Charles Foster Kane! I am no politician who tries to save himself from the consequences of his own crimes!""  "
140592,tt0075148,a15haddad,united states,9,Raw emotion wins out,"Rocky is one of the most famous movies ever and spawned one of the cinema's most popular franchises. Much of it forms one of the cornerstones of film history, and it has one of the most famous scenes ever. But many people disregard it as a great movie. Even now I am utterly insulted that it is not even in IMDb's top 250. That's just an outrage. Rocky is a true classic in its field. It is also one of the most influential movies ever, perhaps not in cinematic techniques but in story techniques. Rocky is nothing else but the original underdog story. Nowadays it seems like every sports movie- no, it's really like this- employs an unthinkable underdog story. Every single one of those films takes their main focus off of Rocky. This movie never gets complicated, never enters thought, doesn't have any big plot twists or jaw-droppers, much less any philosophy or thought-provoking considerations, but it stabs at what you feel most: your heart. It is simply impossible for any good person to feel nothing in their first viewing. You root for Rocky like you have never rooted for anyone else before. That is the essence of this movie. However, Rocky does have some splendid moments of direction. The steps scene, something that has been imitated so many times, something that is just as deep into our culture as the Vader battle in Empire Strikes Back, actually has some fantastic cinematography. The best part of Avildsen and Stallone's work are the intercutting shots of Rocky training coupled with the classic Rocky theme song. I have just hit at one of the major reasons for Rocky's emotional effect: the soundtrack. Bar none, Rocky has the best and most inspirational soundtrack ever put forth into a movie. The theme song and the battle theme will flat out pump you up. It may sound silly to someone who hasn't watched Rocky, but it's the truth. The plot of Rocky is basically this: he is just another bum living in the streets of Philadelphia and the first half of the movie do a great job of creating a depressing environment and a feeling of hopelessness. He is also a boxer at clubs, very clumsy, unskilled, but with a lot of heart. Then he gets the chance of a lifetime: Apollo Creed, the world heavyweight champion, is looking for a local underdog to fight and he has chosen Rocky. From a million-to-one shot Rocky has a shot at the title. Little does he know that this is just a novelty. He trains hard with his trainer Mickey, who is one of the most lovable characters conceivable, and the movie eventually leads up to the climactic showdown with Creed. That fight pushes this movie over the top. It still stands as one of the greatest boxing scenes in the history of the cinema, maybe not as realistic or atmospheric as those found in Raging Bull but just as entertaining. And the fact that the ending isn't your typical jolly olly underdog tale. Although the most inspiring movie tale ever told this movie is not a very light one. In the end this stands as one of the greatest sports movies of all-time, in the Holy Trinity along with Raging Bull and Hoosiers. It is basically perfect in what it does and nothing more. Do not expect this movie to alter your life or your thinking, just get ready for an inspiring piece of film. 8.9. ""Did you get the license plate number? Of the truck that ran over your face.""  "
2143,tt0111161,a1tuba4u,united states,10,The best movie ever made.," If you haven't seen it yet, this picture will reaffirm hope in life, humanity and the movies.  Morgan Freeman proves himself as one of the best actors of our time.  Tim Robbins has a humble, underplayed style that fits well in the picture.  Probably one of the best scripts ever written. "
93945,tt0372784,a2600rat,united states,9,The Dark Knight returns!,"I saw the midnight showing on opening day and I was thrilled to see that Batman has returned as a menacing vigilante, not as the cartoonish parody of Batman portrayed in the last film in the old franchise. Gotham City is a dark, crime-infested hellhole, filled with feelings of hopelessness and despair, just the way I remember from the Dark Night comics. Dr. Crane's first transformation from the mousy, Milquetoast-ish psychiatrist into the delightfully sadistic Scarecrow is equally impressive. Christian Bale's performance as Batman is adequate, perhaps a little forced. I give it 9 out of 10 stars only because of the somewhat silly, cartoony plot of the villains to destroy Gotham City.  "
40708,tt0120815,A2Z,united states,10,Our young men sacrificed their lives for who?," While waiting in line to see SPR I struck up a conversation with an older gentlemen in his 70's. He had participated in D-Day. Though in the 2nd wave, he saw the results of the hell the 1st wave of men lived through. At the end of the movie I saw him seated unable to move, crying, while his wife held his shoulders. I realized I was crying too. I'll never look at another person in his 70's/80's the same way again, and for that I thank Steven Spielberg. I have read most of the previous reviews and have found a common thread: most of the negative reviews are from europeans. The same europeans our young men spilled their guts and blood to liberate. The same europeans we saved after the war with the Marshall Plan. The same europeans who now complain and criticize about the ""patriotism"" of SPR. The same ungrateful, hypocritical europeans who so easily forget that it is Americans who are buried under those countless white crosses and Star of Davids'. The amazing thing is that we are still sending young Americans overseas to save their sorry a$$e$.   "
94383,tt0372784,a34tazz,united states,9,Actually really Good!,"I reeeeeeally did't want to see this movie- I never really liked any of the other batmans... but it was so good! I saw Christian Bale in American Psycho and hated him- so I wasn't thrilled to hear he was the lead- but he was very impressive and played did a good job! Also, Katie Holmes wasn't as bad as everyone said she was- but she was not able to stand up to the greats like Michael Caine, Lliam Neison, and Morgan Freeman- nor the new actors like Christian Bale and Cillian (the doctor). All in all, the movie was very entertaining and even though it was long- about 2 1/2 hours- I never checked my watch. So, definitely go see this movie- even the ladies!  "
40864,tt0120815,a40mast,united states,7,THE definative war film to date," I dare you to find a better war film than this. It is the most historically accurate war movie there has been. The cast is top notch, with some of the biggest names taking all the parts, providing the best mix of people becoming a new family on the battle field. The plot is as real to life as any. The reactions potrayed by each actor to the near pointless mission they are sent on shows the contrast between the people sent to war, yet they all pull together and march to the beat of the drummer. To sum up, watch this film. If there was a list of film that had to be watched before you die, this would be number 1 on my list   "
7494,tt0468569,A4B4,united states,8,Good But Moderately Over-Hyped,"The Dark Knight is a good film. All-the-way-around, it keeps the audience interested and is highly entertaining, decently thought-provoking, and very impressive from a technical standpoint. The special effects are above average, although parts of it are a little below par and don't fit as seamlessly as we'd all like. The acting does not disappoint; as this film does not rely on the actors much, I have no complaints. Heath Ledger does a convincing job as the Joker, bringing new depth to the character--largely belittling the former Jack Nicholson Joker--however Heath's performance has likewise been moderately overrated. The plot is well-developed, above average for modern action flicks. In many ways I believe it surpasses Batman Begins, and because of it the series still tops the comic-book adaptations. Tonally, it is the expected sequel. It is somewhat darker, but it continues Nolan's refreshing take on the Batman series. And with this latest addition, it makes all the other Batman films even more forgettable. However, to say that The Dark Knight is the best film ever overlooks many other great films. Realistically, I would put it on the level of Jurassic Park, giving The Dark Knight a slight edge, but both deserving a spot among the top films in modern cinema. "
